"N","coverage_prob","min_x","max_x","group"
223,0.956035489359906,5,63,65
224,0.955513392295401,5,63,65
225,0.957454699771881,5,64,66
226,0.956953750711092,5,64,66
227,0.956435523650106,5,64,66
228,0.958328743807882,5,65,67
229,0.957831146592753,5,65,67
230,0.957316892019512,5,65,67
231,0.959164125879993,5,66,68
232,0.958669998909222,5,66,68
233,0.958159802786624,5,66,68
234,0.959963026725166,5,67,69
235,0.959472471393071,5,67,69
236,0.958966404842063,5,67,69
237,0.958444885688707,5,67,69
238,0.951819059903734,6,68,70
239,0.951408001539727,6,68,70
240,0.950980730126245,6,68,70
241,0.95282332150517,6,69,71
242,0.952412707079267,6,69,71
243,0.95198644395288,6,69,71
244,0.953785692379673,6,70,72
245,0.953375749799262,6,70,72
246,0.952950694568975,6,70,72
247,0.952510593554252,6,70,72
248,0.954299320598539,6,71,73
249,0.953875653584635,6,71,73
250,0.953437445352044,6,71,73
