"N","M","n","MSE_HG_N","MSE_NHG_N","Diff_MSE_N","MSE_HG_M","MSE_NHG_M","Diff_MSE_M","M_over_N","m_over_M"
1800,1200,333,3871.51922409451,1439876.41593133,-1436004.89670724,1678.30533235939,229917.379149217,-228239.073816858,0.666666666666667,0.0408333333333333
600,220,23,71257.3979477094,79364.566527584,-8107.16857987453,3320.1965973535,3970.31210143335,-650.115504079857,0.366666666666667,0.222727272727273
1400,570,81,38148.1790001946,350005.880236888,-311857.701236694,5281.90336838896,26933.9696170542,-21652.0662486652,0.407142857142857,0.0859649122807018
900,670,83,2949.36162972581,447729.228276903,-444779.866647177,1545.00972564959,81236.4375728897,-79691.4278472401,0.744444444444444,0.073134328358209
500,450,70,325.648663192473,203761.617070651,-203435.968407458,258.316326530612,45529.2018950491,-45270.8855685185,0.9,0.108888888888889
1500,940,165,7297.80055818139,902029.644832748,-894731.844274566,2714.13223140496,132045.496092827,-129331.363861422,0.626666666666667,0.0521276595744681
100,90,27,32.5879643507944,8174.66629836135,-8142.07833401056,24.7791495198902,1820.99703746643,-1796.21788794654,0.9,0.544444444444444
1100,410,149,12503.4058948739,172958.998426697,-160455.592531823,1606.27521282825,12138.7549091892,-10532.479696361,0.372727272727273,0.119512195121951
2000,1710,523,1017.14570586186,2925384.28961895,-2924367.14391308,744.117004047103,621192.547861343,-620448.430857296,0.855,0.0286549707602339
900,440,55,18512.6787005838,205126.453944293,-186613.775243709,3645.01818181818,20670.9191419605,-17025.9009601423,0.488888888888889,0.111363636363636
300,180,33,1814.3115744173,34059.3513286167,-32245.0397541994,558.115702479339,4533.30216484916,-3975.18646236983,0.6,0.272222222222222
1500,940,64,21957.3452130788,908576.819304558,-886619.47409148,7956.44775390625,131163.504713498,-123207.056959592,0.626666666666667,0.0521276595744681
300,120,43,3565.18000495809,16483.9467560921,-12918.7667511341,427.551108707409,1176.16896381585,-748.617855108439,0.4,0.408333333333333
1300,220,109,99966.0031808808,123782.9636538,-23816.9604729195,2020.09443649524,1910.40785300202,109.68658349322,0.169230769230769,0.222727272727273
1500,1210,460,821.50623151716,1464833.18051479,-1464011.67428327,530.671550094518,291840.43413363,-291309.762583536,0.806666666666667,0.040495867768595
2000,1420,602,1820.95175427158,2014860.22077987,-2013039.2690256,910.438516131169,347211.579510049,-346301.140993918,0.71,0.0345070422535211
1800,1750,765,71.2050447172164,3062080.62271234,-3062009.41766762,67.2941176470588,744146.404984282,-744079.110866635,0.972222222222222,0.028
200,80,32,2103.87215969077,7866.3021286428,-5762.42996895202,246.953125,534.207935790756,-287.254810790756,0.4,0.6125
1200,30,8,939085.714285714,1196423.9010989,-257338.186813187,18578.5714285714,10306.3726957258,8272.1987328456,0.025,1.63333333333333
500,410,73,674.793184913007,167012.9995333,-166338.206348387,434.501782698443,33904.7070620152,-33470.2052793168,0.82,0.119512195121951
1600,170,8,373726.137709866,1966788.72165629,-1593062.58394642,31059.5925297114,52309.8813885922,-21250.2888588808,0.10625,0.288235294117647
900,140,43,342481.832342418,125815.029915782,216666.802426637,2303.14121585079,2419.07319538296,-115.931979532175,0.155555555555556,0.35
1200,950,327,890.80242738043,903960.67935731,-903069.87692993,555.244508038044,176237.366419323,-175682.121911285,0.791666666666667,0.051578947368421
500,450,208,77.7289324664849,202715.251587896,-202637.522655429,62.6097910502958,45447.6905621325,-45385.0807710822,0.9,0.108888888888889
600,510,222,179.839808074896,260034.581220707,-259854.741412632,129.227173119065,54871.0226158664,-54741.7954427474,0.85,0.096078431372549
