"N","M","m","MSE_HG_N","MSE_NHG_N","Diff_MSE_N","MSE_HG_M","MSE_NHG_M","Diff_MSE_M","M.N","m.M"
1400,240,21,85428.8580470859,122364.604081633,-36935.7460345467,1818.57853776566,2006.84358935304,-188.265051587379,0.171428571428571,11.4285714285714
1800,960,21,50405.9343292957,980523.624489796,-930117.6901605,12666.9713425818,110583.611032623,-97916.639690041,0.533333333333333,45.7142857142857
100,30,5,2576.17041146227,1947.148,629.022411462269,82.5116679385242,66.0510752143691,16.4605927241551,0.3,6
700,180,23,12817.6887835828,43758.1618147448,-30940.473031162,705.016621411702,1500.42668279572,-795.410061384021,0.257142857142857,7.82608695652174
100,50,9,419.813514887064,2817.22222222222,-2397.40870733516,73.8181399141301,267.939728301919,-194.121588387789,0.5,5.55555555555556
1200,260,17,60778.404071055,124127.638754325,-63349.2346832702,2248.65948941415,3031.73281416211,-783.073324747963,0.216666666666667,15.2941176470588
1900,280,19,213220.51673806,233583.902493075,-20363.3857550152,2814.7449247668,2926.18016540895,-111.43524064215,0.147368421052632,14.7368421052632
1800,1200,70,7858.65921834803,1459619.55918367,-1451760.89996533,3491.75848198836,230559.749555839,-227067.99107385,0.666666666666667,17.1428571428571
600,220,37,3791.47074241034,52556.6144631118,-48765.1437207014,479.48869809223,3515.4469051118,-3035.95820701957,0.366666666666667,5.94594594594595
1400,570,27,32400.3446518197,373133.135802469,-340732.791150649,4719.36103068507,27901.0785837822,-23181.7175530971,0.407142857142857,21.1111111111111
900,670,11,14713.0246608933,474893.409090909,-460180.384430016,6537.20982524602,81872.4383003387,-75335.2284750926,0.744444444444444,60.9090909090909
500,450,55,183.079863933785,202685.534710744,-202502.45484681,146.415628782807,45387.3891607312,-45240.9735319484,0.9,8.18181818181818
1500,940,161,2322.96333246572,887029.575494773,-884706.612162307,904.29308223044,130994.519886024,-130090.226803794,0.626666666666667,5.83850931677019
100,90,18,19.4412466632286,8144.4,-8124.95875333677,15.1629084938487,1815.24455551183,-1800.08164701798,0.9,5
1100,410,64,7296.57794298708,175585.087719727,-168288.50977674,962.321589408724,12374.7903993043,-11412.4688098956,0.372727272727273,6.40625
2000,1710,90,3478.09685094952,2936947.169,-2933469.07214905,2497.46643316847,621692.038998163,-619194.572564995,0.855,19
900,440,50,4807.77557652857,199159.616,-194351.840423471,1101.51756428467,20773.6583435426,-19672.1407792579,0.488888888888889,8.8
300,180,18,1195.9219454172,34525.2,-33329.2780545828,373.148211251556,4562.3689639325,-4189.22075268094,0.6,10
1500,940,96,4309.62118088984,889927.241189236,-885617.620008346,1672.27321034292,130883.677829957,-129211.404619614,0.626666666666667,9.79166666666667
300,120,24,1548.2649331722,15205.85,-13657.5850668278,213.237198149756,1140.45361244436,-927.216414294608,0.4,5
1300,220,9,297758.285792159,194781.57037037,102976.715421789,3821.31287884404,3121.35942419065,699.953454653395,0.169230769230769,24.4444444444444
1500,1210,8,35584.1834114484,1527763.1,-1492178.91658855,18509.5517825023,290607.577292674,-272098.025510172,0.806666666666667,151.25
2000,1420,43,16453.2979235366,2030351.51476474,-2013898.2168412,7927.27112824277,345976.418042061,-338049.146913818,0.71,33.0232558139535
1800,1750,327,88.6433782748337,3061745.62174434,-3061656.97836606,83.7541299120236,744077.49510524,-743993.740975327,0.972222222222222,5.35168195718654
200,80,16,1086.7579334194,7239.25,-6152.4920665806,134.117035187152,516.978440670135,-382.861405482984,0.4,5
1200,30,6,777160.599123871,173030.975,604129.624123871,133.758012163134,245.841849194877,-112.083837031744,0.025,5
500,410,43,456.281888751993,168730.494050838,-168274.212162086,301.822811748274,34049.1771113216,-33747.3542995733,0.82,9.53488372093023
1600,170,12,305348.968705783,210803.067361111,94545.9013446722,1795.91388236372,1653.20841376944,142.705468594279,0.10625,14.1666666666667
900,140,7,191230.989944186,111196.4,80034.5899441862,1992.46269340309,1763.1844688349,229.278224568187,0.155555555555556,20
