"m","true_N","true_M","mse_N_HG","mse_M_HG","mse_N_NHG","mse_M_NHG","mse_N_ratio","mse_M_ratio"
5,500,100,121572.145828433,1348.48121668701,45852.64,988.645334317381,0.377164026245854,0.733154694394865
5,500,110,115997.361207101,1566.17296379747,47426.4376,1105.55316960326,0.408857900787288,0.705894684149473
5,500,120,101675.350239664,1835.81474743677,49527.2320000001,1223.95737066416,0.487111496378003,0.666710719245009
5,500,130,104666.265222024,2051.54611431815,50969.9324,1400.64322441204,0.486975744208316,0.682725684125096
5,500,140,103229.536541173,2261.31603325822,53981.2512000001,1601.25584226254,0.522924474997229,0.708107941885223
5,500,150,87848.6619887226,2528.132184161,54765.46,1790.96028674485,0.623406876783513,0.708412439019364
5,500,160,85031.7147828368,2652.62376954308,57926.8096,2082.04195597581,0.681237697580717,0.784899079877601
5,500,170,81114.3484661469,2943.18584892514,61153.9904000003,2375.86081237006,0.753923215268417,0.807241178207532
5,500,180,74743.5786088282,3117.43129157669,62754.8992,2727.19234033086,0.839602550052211,0.874820352159724
5,500,190,70039.5127154817,3327.10938697685,64860.8156,3122.96532038475,0.926060349155784,0.938642213751321
5,500,200,64518.4270876555,3530.36925438219,68244.4799999997,3609.10775956128,1.0577517630317,1.02230319252904
5,500,210,62122.0597793343,3681.18857611753,72402.6388000001,4155.56554773995,1.16548998950105,1.12886516455583
5,500,220,59258.2643739578,3833.16844852321,74905.8368,4710.12967309432,1.26405721786409,1.228782334079
5,500,230,50808.1823636932,4041.43276770512,79108.6844,5399.24929007589,1.55700677961135,1.33597404693232
5,500,240,47290.5599903848,4130.18740077861,82693.2735999997,6154.66344858344,1.74862115434482,1.49016566352974
5,500,250,39412.4234523366,4290.24782987093,87082.75,6991.13351910769,2.2095253824042,1.62954071567423
5,500,260,38803.6418102835,4205.54727932668,91861.8847999999,7928.23215825897,2.36735214826293,1.88518440803935
5,500,270,32250.448640355,4374.16044549004,94466.5863999999,8826.61531523582,2.92915572907082,2.01789930324491
5,500,280,33944.3562389636,4555.96047072052,101822.4768,10065.0069339004,2.99968796235769,2.20919540425878
5,500,290,27263.8797370334,4464.24198311866,101882.4768,11010.779888448,3.73690310339837,2.46643885570827
5,500,300,25274.3025998725,4572.81453299029,107761.6,12337.2945578637,4.26368243294451,2.69796521788869
5,750,10,226838.621378993,13.1725114500204,49938.9176000001,33.722480224006,0.220151741781943,2.560064597549
5,750,20,281392.30172989,66.4950405273015,71572.9952000001,137.627772787637,0.254353067798931,2.06974492678337
5,750,30,307298.14341019,161.082675232494,81770.8500000002,287.292543926803,0.266096140681365,1.78350988715669
5,750,40,311625.576244603,280.328027140322,86325.9647999998,453.082012217914,0.277018227580397,1.61625655786147
